ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Condition,ConditionList,ConditionList.Cycle,ConditionList.Sample,Procedure[Block],Running[Block],Trial,A1,A2,A3,CVCCRESP,CVCRESP,CVXCRESP,EnglishBig,EnglishPlural,EnglishTest,EnglishWord,FakeCV,FakeCVC,FakeCVX,FakePlural,FakeWord,ItemNumber,Order1,Order3,Order5,PLURALCRESP,Procedure[Trial],Prompt,Prompt.CRESP,Prompt.Word,Running[Trial],StimDisplay.ACC,StimDisplay.CRESP,StimDisplay.DurationError,StimDisplay.OnsetDelay,StimDisplay.OnsetTime,StimDisplay.OnsetToOnsetTime,StimDisplay.RESP,StimDisplay.RT,StimDisplay.RTTime,TrialList1,TrialList1.Cycle,TrialList1.Sample
FHList1June8,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399980000</Frequency><Timestamp dt:dt=""r8"">1251152450007</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-1-1,60,1.0.0.1,1,2004208837,2.0.10.242,2.0.10.242,9/5/2012,9/5/2012 20:18,13:18:34,2.0.10.147,1,CV,1,2,1,ListProc,ConditionList,1,taksilutaksilu,tataksilu,taktaksilu,5,3,5,big blanket,blankets,big blanket,blanket,tataksilu,taktaksilu,taktaksilu,taksilutaksilu,taksilu,142,5,1,3,1,TrialProc,Big,3,tataksilu,TrialList1,0,3,-1,16,63655,7034,,0,0,142,1,1
FHList1June8,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399980000</Frequency><Timestamp dt:dt=""r8"">1251152450007</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-1-1,60,1.0.0.1,1,2004208837,2.0.10.242,2.0.10.242,9/5/2012,9/5/2012 20:18,13:18:34,2.0.10.147,1,CV,1,2,1,ListProc,ConditionList,2,hitrukahitruka,hihitruka,hithitruka,5,3,5,big horn,horns,horns,horn,hihitruka,hithitruka,hithitruka,hitrukahitruka,hitruka,34,5,1,3,1,TrialProc,Plural,1,hitrukahitruka,TrialList1,1,1,"-999,999",1,73206,0,1,5212,78418,34,1,2
FHList1June8,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399980000</Frequency><Timestamp dt:dt=""r8"">1251152450007</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-1-1,60,1.0.0.1,1,2004208837,2.0.10.242,2.0.10.242,9/5/2012,9/5/2012 20:18,13:18:34,2.0.10.147,1,CV,1,2,1,ListProc,ConditionList,3,nonokmota,noknokmota,nokmotanokmota,3,1,3,big lamp,lamps,big lamp,lamp,nonokmota,noknokmota,noknokmota,nokmotanokmota,nokmota,109,1,3,5,5,TrialProc,Big,1,nonokmota,TrialList1,0,1,"-999,999",16,80972,0,5,3229,84201,109,1,3
FHList1June8,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399980000</Frequency><Timestamp dt:dt=""r8"">1251152450007</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-1-1,60,1.0.0.1,1,2004208837,2.0.10.242,2.0.10.242,9/5/2012,9/5/2012 20:18,13:18:34,2.0.10.147,1,CV,1,2,1,ListProc,ConditionList,4,koskosepa,kosepakosepa,kokosepa,1,5,5,big boulder,boulders,big boulder,boulder,kokosepa,koskosepa,kokosepa,kosepakosepa,kosepa,135,3,5,1,3,TrialProc,Big,5,kokosepa,TrialList1,0,5,"-999,999",17,86756,0,3,2699,89455,135,1,4
FHList1June8,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399980000</Frequency><Timestamp dt:dt=""r8"">1251152450007</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-1-1,60,1.0.0.1,1,2004208837,2.0.10.242,2.0.10.242,9/5/2012,9/5/2012 20:18,13:18:34,2.0.10.147,1,CV,1,2,1,ListProc,ConditionList,5,talsepatalsepa,taltalsepa,tatalsepa,3,5,3,big village,villages,villages,village,tatalsepa,taltalsepa,taltalsepa,talsepatalsepa,talsepa,35,5,3,1,1,TrialProc,Plural,1,talsepatalsepa,TrialList1,1,1,"-999,999",17,92006,0,1,2572,94578,35,1,5
FHList1June8,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399980000</Frequency><Timestamp dt:dt=""r8"">1251152450007</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-1-1,60,1.0.0.1,1,2004208837,2.0.10.242,2.0.10.242,9/5/2012,9/5/2012 20:18,13:18:34,2.0.10.147,1,CV,1,2,1,ListProc,ConditionList,6,vewiluvewilu,vevewilu,vewvewilu,5,3,3,big horse,horses,horses,horse,vevewilu,vewvewilu,vevewilu,vewiluvewilu,vewilu,16,5,1,3,1,TrialProc,Plural,1,vewiluvewilu,TrialList1,1,1,"-999,999",16,97122,0,1,1738,98860,16,1,6
FHList1June8,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399980000</Frequency><Timestamp dt:dt=""r8"">1251152450007</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-1-1,60,1.0.0.1,1,2004208837,2.0.10.242,2.0.10.242,9/5/2012,9/5/2012 20:18,13:18:34,2.0.10.147,1,CV,1,2,1,ListProc,ConditionList,7,taknulutaknulu,taktaknulu,tataknulu,3,5,3,big face,faces,big face,face,tataknulu,taktaknulu,taktaknulu,taknulutaknulu,taknulu,113,5,3,1,1,TrialProc,Big,5,tataknulu,TrialList1,0,5,"-999,999",16,101422,0,3,2790,104212,113,1,7
FHList1June8,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399980000</Frequency><Timestamp dt:dt=""r8"">1251152450007</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-1-1,60,1.0.0.1,1,2004208837,2.0.10.242,2.0.10.242,9/5/2012,9/5/2012 20:18,13:18:34,2.0.10.147,1,CV,1,2,1,ListProc,ConditionList,8,vetokuvetoku,vevetoku,vetvetoku,5,3,3,big fire,fires,fires,fire,vevetoku,vetvetoku,vevetoku,vetokuvetoku,vetoku,22,5,1,3,1,TrialProc,Plural,1,vetokuvetoku,TrialList1,1,1,"-999,999",16,106772,0,1,1795,108567,22,1,8
FHList1June8,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399980000</Frequency><Timestamp dt:dt=""r8"">1251152450007</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-1-1,60,1.0.0.1,1,2004208837,2.0.10.242,2.0.10.242,9/5/2012,9/5/2012 20:18,13:18:34,2.0.10.147,1,CV,1,2,1,ListProc,ConditionList,9,koskosopa,kokosopa,kosopakosopa,1,3,3,big nose,noses,big nose,nose,kokosopa,koskosopa,kokosopa,kosopakosopa,kosopa,110,3,1,5,5,TrialProc,Big,3,kokosopa,TrialList1,1,3,"-999,999",16,111122,0,3,3237,114359,110,1,9
FHList1June8,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399980000</Frequency><Timestamp dt:dt=""r8"">1251152450007</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-05T20:18:34Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-1-1,60,1.0.0.1,1,2004208837,2.0.10.242,2.0.10.242,9/5/2012,9/5/2012 20:18,13:18:34,2.0.10.147,1,CV,1,2,1,ListProc,ConditionList,10,rewitarewita,rewrewita,rerewita,3,5,5,big shell,shells,shells,shell,rerewita,rewrewita,rerewita,rewitarewita,rewita,29,5,3,1,1,TrialProc,Plural,1,rewitarewita,TrialList1,1,1,"-999,999",1,116890,0,1,2428,119318,29,1,10
